"date","pm25","year","month","day","Address"
"20000101.tif",9.81878450105516,"2000","01","01","Minneapolis-St. Paul, MN"
"20000102.tif",7.42585805165682,"2000","01","02","Minneapolis-St. Paul, MN"
"20000103.tif",5.30195638601728,"2000","01","03","Minneapolis-St. Paul, MN"
"20000104.tif",7.55133870694277,"2000","01","04","Minneapolis-St. Paul, MN"
"20000105.tif",12.5767489097101,"2000","01","05","Minneapolis-St. Paul, MN"
"20000106.tif",12.6093535251755,"2000","01","06","Minneapolis-St. Paul, MN"
"20000107.tif",12.8689117431641,"2000","01","07","Minneapolis-St. Paul, MN"
"20000108.tif",15.6036552799691,"2000","01","08","Minneapolis-St. Paul, MN"
"20000109.tif",21.0641052740083,"2000","01","09","Minneapolis-St. Paul, MN"
"20000110.tif",18.091684066992,"2000","01","10","Minneapolis-St. Paul, MN"
"20000111.tif",7.79574467981462,"2000","01","11","Minneapolis-St. Paul, MN"
"20000112.tif",7.34686644986379,"2000","01","12","Minneapolis-St. Paul, MN"
"20000113.tif",15.0991660124964,"2000","01","13","Minneapolis-St. Paul, MN"
"20000114.tif",22.9572443378915,"2000","01","14","Minneapolis-St. Paul, MN"
"20000115.tif",23.5035945974666,"2000","01","15","Minneapolis-St. Paul, MN"
"20000116.tif",6.54726199623492,"2000","01","16","Minneapolis-St. Paul, MN"
"20000117.tif",10.7046688958038,"2000","01","17","Minneapolis-St. Paul, MN"
"20000118.tif",17.8378579187736,"2000","01","18","Minneapolis-St. Paul, MN"
"20000119.tif",12.8191241600531,"2000","01","19","Minneapolis-St. Paul, MN"
"20000120.tif",12.8338403770392,"2000","01","20","Minneapolis-St. Paul, MN"
"20000121.tif",19.9389546483541,"2000","01","21","Minneapolis-St. Paul, MN"
"20000122.tif",22.3140298582667,"2000","01","22","Minneapolis-St. Paul, MN"
"20000123.tif",10.504241614033,"2000","01","23","Minneapolis-St. Paul, MN"
"20000124.tif",15.4816915731636,"2000","01","24","Minneapolis-St. Paul, MN"
"20000125.tif",4.75727385754208,"2000","01","25","Minneapolis-St. Paul, MN"
"20000126.tif",11.3283425200757,"2000","01","26","Minneapolis-St. Paul, MN"
"20000127.tif",17.7477323751655,"2000","01","27","Minneapolis-St. Paul, MN"
"20000128.tif",37.8562208765702,"2000","01","28","Minneapolis-St. Paul, MN"
"20000129.tif",44.0152064536115,"2000","01","29","Minneapolis-St. Paul, MN"
"20000130.tif",32.9871536364658,"2000","01","30","Minneapolis-St. Paul, MN"
"20000131.tif",19.5635618991989,"2000","01","31","Minneapolis-St. Paul, MN"
"20000201.tif",9.56075081036245,"2000","02","01","Minneapolis-St. Paul, MN"
"20000202.tif",18.0293753644545,"2000","02","02","Minneapolis-St. Paul, MN"
"20000203.tif",8.33494817953316,"2000","02","03","Minneapolis-St. Paul, MN"
"20000204.tif",8.33836181901342,"2000","02","04","Minneapolis-St. Paul, MN"
"20000205.tif",12.7336111411774,"2000","02","05","Minneapolis-St. Paul, MN"
"20000206.tif",24.7461899407476,"2000","02","06","Minneapolis-St. Paul, MN"
"20000207.tif",22.1549697848533,"2000","02","07","Minneapolis-St. Paul, MN"
"20000208.tif",21.9061323207059,"2000","02","08","Minneapolis-St. Paul, MN"
"20000209.tif",12.6518557774935,"2000","02","09","Minneapolis-St. Paul, MN"
"20000210.tif",5.55654905854369,"2000","02","10","Minneapolis-St. Paul, MN"
"20000211.tif",12.7415475913947,"2000","02","11","Minneapolis-St. Paul, MN"
"20000212.tif",22.2703323638696,"2000","02","12","Minneapolis-St. Paul, MN"
"20000213.tif",21.3823450211998,"2000","02","13","Minneapolis-St. Paul, MN"
"20000214.tif",20.8626738074872,"2000","02","14","Minneapolis-St. Paul, MN"
"20000215.tif",30.3826748827379,"2000","02","15","Minneapolis-St. Paul, MN"
"20000216.tif",14.5771550514715,"2000","02","16","Minneapolis-St. Paul, MN"
"20000217.tif",21.1958942138891,"2000","02","17","Minneapolis-St. Paul, MN"
"20000218.tif",23.8189138645748,"2000","02","18","Minneapolis-St. Paul, MN"
"20000219.tif",16.7638844757629,"2000","02","19","Minneapolis-St. Paul, MN"
"20000220.tif",17.8514112637197,"2000","02","20","Minneapolis-St. Paul, MN"
"20000221.tif",29.9924368549594,"2000","02","21","Minneapolis-St. Paul, MN"
"20000222.tif",20.7010162957281,"2000","02","22","Minneapolis-St. Paul, MN"
"20000223.tif",33.6225298325792,"2000","02","23","Minneapolis-St. Paul, MN"
"20000224.tif",50.3364292117332,"2000","02","24","Minneapolis-St. Paul, MN"
"20000225.tif",27.5991303697764,"2000","02","25","Minneapolis-St. Paul, MN"
"20000226.tif",4.24728042444737,"2000","02","26","Minneapolis-St. Paul, MN"
"20000227.tif",5.15451221500369,"2000","02","27","Minneapolis-St. Paul, MN"
"20000228.tif",8.262537609759,"2000","02","28","Minneapolis-St. Paul, MN"
"20000229.tif",7.39902254488828,"2000","02","29","Minneapolis-St. Paul, MN"
"20000301.tif",3.95002994091391,"2000","03","01","Minneapolis-St. Paul, MN"
"20000302.tif",7.42954904569996,"2000","03","02","Minneapolis-St. Paul, MN"
"20000303.tif",11.0569321337364,"2000","03","03","Minneapolis-St. Paul, MN"
"20000304.tif",18.1299403965902,"2000","03","04","Minneapolis-St. Paul, MN"
"20000305.tif",15.9695653572357,"2000","03","05","Minneapolis-St. Paul, MN"
"20000306.tif",16.1048297676251,"2000","03","06","Minneapolis-St. Paul, MN"
"20000307.tif",14.7708153004269,"2000","03","07","Minneapolis-St. Paul, MN"
"20000308.tif",16.3825100548833,"2000","03","08","Minneapolis-St. Paul, MN"
"20000309.tif",2.80829954919198,"2000","03","09","Minneapolis-St. Paul, MN"
"20000310.tif",7.89146836713064,"2000","03","10","Minneapolis-St. Paul, MN"
"20000311.tif",10.7355422287536,"2000","03","11","Minneapolis-St. Paul, MN"
"20000312.tif",8.49348911450064,"2000","03","12","Minneapolis-St. Paul, MN"
"20000313.tif",14.1919520467305,"2000","03","13","Minneapolis-St. Paul, MN"
"20000314.tif",14.4107697233022,"2000","03","14","Minneapolis-St. Paul, MN"
"20000315.tif",7.68653806851065,"2000","03","15","Minneapolis-St. Paul, MN"
"20000316.tif",5.67977258627363,"2000","03","16","Minneapolis-St. Paul, MN"
"20000317.tif",6.92948208266883,"2000","03","17","Minneapolis-St. Paul, MN"
"20000318.tif",20.3058188870656,"2000","03","18","Minneapolis-St. Paul, MN"
"20000319.tif",24.5920623395083,"2000","03","19","Minneapolis-St. Paul, MN"
"20000320.tif",15.9980980440867,"2000","03","20","Minneapolis-St. Paul, MN"
"20000321.tif",19.521299087744,"2000","03","21","Minneapolis-St. Paul, MN"
"20000322.tif",30.4963107623642,"2000","03","22","Minneapolis-St. Paul, MN"
"20000323.tif",30.8097523339361,"2000","03","23","Minneapolis-St. Paul, MN"
"20000324.tif",19.0361804138842,"2000","03","24","Minneapolis-St. Paul, MN"
"20000325.tif",5.41275158202905,"2000","03","25","Minneapolis-St. Paul, MN"
"20000326.tif",7.12766863287782,"2000","03","26","Minneapolis-St. Paul, MN"
"20000327.tif",3.02549509350344,"2000","03","27","Minneapolis-St. Paul, MN"
"20000328.tif",4.51880432204377,"2000","03","28","Minneapolis-St. Paul, MN"
"20000329.tif",6.91223079695118,"2000","03","29","Minneapolis-St. Paul, MN"
"20000330.tif",10.8084161333043,"2000","03","30","Minneapolis-St. Paul, MN"
"20000331.tif",7.97793487164614,"2000","03","31","Minneapolis-St. Paul, MN"
"20000401.tif",7.00428690327157,"2000","04","01","Minneapolis-St. Paul, MN"
"20000402.tif",7.19187357099794,"2000","04","02","Minneapolis-St. Paul, MN"
"20000403.tif",2.24015196364561,"2000","04","03","Minneapolis-St. Paul, MN"
"20000404.tif",4.76737062193507,"2000","04","04","Minneapolis-St. Paul, MN"
"20000405.tif",6.68560471123071,"2000","04","05","Minneapolis-St. Paul, MN"
"20000406.tif",4.84998419301973,"2000","04","06","Minneapolis-St. Paul, MN"
"20000407.tif",6.0476127356934,"2000","04","07","Minneapolis-St. Paul, MN"
"20000408.tif",4.42149584070384,"2000","04","08","Minneapolis-St. Paul, MN"
"20000409.tif",3.64414648872485,"2000","04","09","Minneapolis-St. Paul, MN"
"20000410.tif",4.64564418792725,"2000","04","10","Minneapolis-St. Paul, MN"
"20000411.tif",9.8719713739354,"2000","04","11","Minneapolis-St. Paul, MN"
"20000412.tif",8.20338841307935,"2000","04","12","Minneapolis-St. Paul, MN"
"20000413.tif",12.0747052817036,"2000","04","13","Minneapolis-St. Paul, MN"
"20000414.tif",10.0318231788471,"2000","04","14","Minneapolis-St. Paul, MN"
"20000415.tif",2.98811623518416,"2000","04","15","Minneapolis-St. Paul, MN"
